category,start_time,link,end_time,description,id,event_name
main,Oct 10 2020 09:00:00 GMT+0530,localhost:8080/lO0RlD,Oct 10 2020 10:00:00 GMT+0530,Sample description,73ca76ea-2009-4de4-8ac1-4ee4fa07913f,Opening ceremony
main,Oct 10 2020 10:00:00 GMT+0530,localhost:8080/VuiW9W,Oct 10 2020 11:00:00 GMT+0530,Sample description,73d09f27-18ec-4887-a047-ec3989b7c548,Team Formation and Ideation Period
main,Oct 10 2020 10:30:00 GMT+0530,localhost:8080/JLMdK0,Oct 10 2020 11:00:00 GMT+0530,Sample description,afa9d09f-9693-436f-a129-ebeb619a07be,Hacking Starts
main,Oct 10 2020 11:00:00 GMT+0530,localhost:8080/cGIgaE,Oct 10 2020 12:00:00 GMT+0530,Hosted by Rishabh Singh,cdc8c2a2-e99a-4a7a-9ca5-48549af10501,Do's and Don't Of a Hackathon
main,Oct 10 2020 12:30:00 GMT+0530,localhost:8080/bZHsrQ,Oct 10 2020 13:15:00 GMT+0530,Sample description,7dbe7dd4-bdea-4e3e-ac1f-797714ce9f15,Session by EchoAR
main,Oct 10 2020 14:00:00 GMT+0530,localhost:8080/0VXn7l,Oct 10 2020 14:00:00 GMT+0530,Sample description,c4fb8dd3-8e51-48f6-9b0b-1da09ffada30,MLH Fun Event
main,Oct 10 2020 15:30:00 GMT+0530,localhost:8080/VwGHb2,Oct 10 2020 16:10:00 GMT+0530,Sample description,0311ce0c-f85e-4794-9e66-ce69b1bdb57f,Hack Your Way Into the Future by Codeasylum
main,Oct 10 2020 20:00:00 GMT+0530,localhost:8080/yYzgyg,Oct 10 2020 20:45:00 GMT+0530,Sample description,e7af484d-edd3-412d-a4dc-9c0432bedff6,Session by Bubble
main,Oct 11 2020 10:00:00 GMT+0530,localhost:8080/F9cANW,Oct 11 2020 10:45:00 GMT+0530,Sample description,b4316cde-e2e7-4bb7-ab45-c29540bc89fa,MLH Session
main,Oct 10 2020 21:00:00 GMT+0530,localhost:8080/6iKrXO,Oct 10 2020 23:00:00 GMT+0530,Sample description,ca732d54-b010-432e-a8b8-3ade9d5a7ebd,Movie Night
main,Oct 11 2020 11:30:00 GMT+0530,localhost:8080/FLJ3py,Oct 11 2020 13:00:00 GMT+0530,Sample description,aff87145-6189-4146-8cf8-827964fca63e,Hacktoberfest Session
main,Oct 11 2020 14:00:00 GMT+0530,localhost:8080/xFjo2m,Oct 11 2020 14:45:00 GMT+0530,Sample description,64bb48e5-d326-467e-bff2-ab21039d737a,MLH Fun Event
main,Oct 11 2020 17:00:00 GMT+0530,localhost:8080/JIelQX,Oct 11 2020 18:00:00 GMT+0530,Sample description,38281112-3726-4e5c-b13d-f48acd9eaaf7,Project Submission Deadline
main,Oct 11 2020 17:30:00 GMT+0530,localhost:8080/JM5kUK,Oct 11 2020 18:30:00 GMT+0530,Sample description,57bd007a-a38b-42ad-90b6-c69fb41907aa,MLH Session
main,Oct 11 2020 19:00:00 GMT+0530,localhost:8080/ystdSO,Oct 11 2020 20:00:00 GMT+0530,Sample description,167e88ae-1967-485c-a51e-ac9f22981d14,Comedy Session
main,Oct 11 2020 20:00:00 GMT+0530,localhost:8080/KOmuXj,Oct 11 2020 21:00:00 GMT+0530,Sample description,eb35b502-6b49-46d5-9a98-7a5a112cee10,Judging Begins
main,Oct 12 2020 12:00:00 GMT+0530,localhost:8080/cYEVke,Oct 12 2020 13:00:00 GMT+0530,Sample description,a15606a3-8aac-4c85-b88f-a804bced0083,Closing Ceremony
